(4.0,4562.0)
(14.0,4566.0)
(14.0,4565.0)
(10.0,4559.0)
(14.0,4563.0)
(9.0,4560.0)
(14.0,4561.0)
(9.0,4557.0)
(8.0,4558.0)
(14.0,4564.0)
(6.0,4551.0)
(9.0,4555.0)
(9.0,4550.0)
(14.0,4552.0)
(4.0,4553.0)
(14.0,4548.0)
(9.0,4554.0)
(9.0,4546.0)
(10.0,4549.0)
(9.0,4545.0)
(5.0,4543.0)
(14.0,4541.0)
(14.0,4542.0)
(7.0,4547.0)
(10.0,4544.0)
(10.0,4539.0)
(7.0,4538.0)
(4.0,4540.0)
(9.0,4536.0)
(8.0,4533.0)
(4.0,4534.0)
(4.0,4535.0)
(4.0,4532.0)
(4.0,4531.0)
(3.0,4529.0)
(10.0,4530.0)
(14.0,4526.0)
(8.0,4525.0)
(5.0,4524.0)
(10.0,4523.0)
(4.0,4522.0)
(9.0,4527.0)
(4.0,4521.0)
(7.0,4517.0)
(14.0,4519.0)
(3.0,4518.0)
(14.0,4520.0)
(14.0,4537.0)
(9.0,4528.0)
(5.0,4515.0)
(14.0,4513.0)
(7.0,4511.0)
(14.0,4516.0)
(14.0,4510.0)
(5.0,4556.0)
(10.0,4514.0)
(7.0,4505.0)
(7.0,4506.0)
(4.0,4508.0)
(8.0,4504.0)
(4.0,4512.0)
(3.0,4499.0)
(6.0,4507.0)
(7.0,4498.0)
(10.0,4501.0)
(7.0,4495.0)
(9.0,4494.0)
(7.0,4500.0)
(10.0,4497.0)
(4.0,4503.0)
(4.0,4502.0)
(14.0,4496.0)
(14.0,4493.0)
(14.0,4509.0)
(14.0,4489.0)
(9.0,4488.0)
(14.0,4492.0)
(5.0,4490.0)
(5.0,4491.0)
(14.0,4483.0)
(10.0,4487.0)
(9.0,4481.0)
(10.0,4484.0)
(14.0,4480.0)
(14.0,4482.0)
(10.0,4477.0)
(5.0,4475.0)
(7.0,4486.0)
(10.0,4472.0)
(4.0,4474.0)
(10.0,4479.0)
(7.0,4485.0)
(8.0,4478.0)
(10.0,4476.0)
(14.0,4470.0)
(10.0,4469.0)
(10.0,4463.0)
(7.0,4471.0)
(14.0,4467.0)
(10.0,4468.0)
(9.0,4461.0)
(7.0,4464.0)
(10.0,4466.0)
(4.0,4458.0)
(14.0,4460.0)
(10.0,4457.0)
(9.0,4462.0)
(14.0,4455.0)
(14.0,4451.0)
(4.0,4459.0)
(14.0,4456.0)
(9.0,4454.0)
(14.0,4452.0)
(14.0,4450.0)
(9.0,4465.0)
(5.0,4453.0)
(4.0,4449.0)
(10.0,4445.0)
(14.0,4448.0)
(9.0,4446.0)
(14.0,4447.0)
(14.0,4443.0)
(7.0,4438.0)
(10.0,4440.0)
(5.0,4441.0)
(14.0,4473.0)
(9.0,4442.0)
(14.0,4435.0)
(14.0,4434.0)
